role,URL,module,action,expected result,actual result,evidence
"Dispatcher","http://127.0.0.1:18080/index.php?module=HelpDesk&view=List","HelpDesk","Open List; click incident INC-000002","List shows incidents; incident opens","PASS: 2 incidents listed, Detail opens","screenshots/final-2026-09-25/dispatcher_01_HelpDesk_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Detail&record=30","HelpDesk","Detail of incident; look for PHP warnings and the Assignments related tab","No PHP warning; related tab to assignments offered","PASS: no PHP warning; ""As"" tab with count 1; no Edit control","screenshots/final-2026-09-25/dispatcher_02_incident_detail_with_assignments_tab.png"
"Dispatcher","click the Assignments tab (relationId=185)","HelpDesk -> VEMSAssignments","Click the related tab","Lists the incident's assignment","PASS: shows vems:assignment:ASN-000002, 1 to 1","screenshots/final-2026-09-25/dispatcher_03_incident_assignments_related_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Detail&record=31","VEMSAssignments","Click the assignment link; inspect fields and references","Readable labels, linked references, no PHP warning","PASS: ""V-EMS Information"" block; Incident Reference and Vehicle Reference are blue links; no PHP warning; related-tab badge","screenshots/final-2026-09-25/dispatcher_04_assignment_detail_linked_refs.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Detail&record=27","VEMSVehicles","Click the Vehicle Reference link","Vehicle opens with Assignments and Vehicle Stock tabs","PASS: tabs Summary, Details, Assignments, Vehicle Stock; no PHP warning","screenshots/final-2026-09-25/dispatcher_05_vehicle_detail_via_link.png"
"Dispatcher","click the Vehicle Stock tab (relationId=182)","VEMSVehicles -> VEMSVehicleStock","Click the related tab","Lists the vehicle's stock lines","PASS: shows vems:vehicle-stock:AMB-150:ITEM-150","screenshots/final-2026-09-25/dispatcher_06_vehicle_stock_related_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Detail&record=29","VEMSVehicleStock","Click the stock line","Detail with linked vehicle and stock item","PASS: Vehicle Reference and Stock Item Reference are links","screenshots/final-2026-09-25/dispatcher_07_stock_line_detail_linked_refs.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Detail&record=28","VEMSStockItems","Click the Stock Item Reference link","Stock item opens","PASS: opens vems:stock-item:ITEM-150","screenshots/final-2026-09-25/dispatcher_08_stock_item_detail_via_link.png"
"Dispatcher","click the Assignment Crew tab on the assignment (relationId=180)","VEMSAssignments -> VEMSAssignmentCrew","Click the related tab","Lists the assignment's crew","PASS: shows vems:assignment-crew:ASN-000002:STAFF-150","screenshots/final-2026-09-25/dispatcher_09_assignment_crew_related_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Detail&record=32","VEMSAssignmentCrew","Click the crew record","Detail with linked assignment and person","PASS: Assignment Reference and Personnel Reference are links","screenshots/final-2026-09-25/dispatcher_10_crew_detail_linked_refs.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Detail&record=26","VEMSPersonnel","Click the Personnel Reference link","Person opens","PASS: opens vems:personnel:STAFF-150","screenshots/final-2026-09-25/dispatcher_11_person_detail_via_link.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=List","VEMSVehicles","Open List view","Column headers and populated cells (was: blank rows, no headers)","PASS: headers and populated cells","screenshots/final-2026-09-25/dispatcher_12_VEMSVehicles_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=List","VEMSAssignments","Open List view","Column headers and populated cells (was: blank rows, no headers)","PASS: headers and populated cells","screenshots/final-2026-09-25/dispatcher_13_VEMSAssignments_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=List","VEMSPersonnel","Open List view","Column headers and populated cells (was: blank rows, no headers)","PASS: headers and populated cells","screenshots/final-2026-09-25/dispatcher_14_VEMSPersonnel_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=List","VEMSAssignmentCrew","Open List view","Column headers and populated cells (was: blank rows, no headers)","PASS: headers and populated cells","screenshots/final-2026-09-25/dispatcher_15_VEMSAssignmentCrew_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=List","VEMSStockItems","Open List view","Column headers and populated cells (was: blank rows, no headers)","PASS: headers and populated cells","screenshots/final-2026-09-25/dispatcher_16_VEMSStockItems_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=List","VEMSVehicleStock","Open List view","Column headers and populated cells (was: blank rows, no headers)","PASS: headers and populated cells","screenshots/final-2026-09-25/dispatcher_17_VEMSVehicleStock_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=List","VEMSStockUsage","Open List view","Column headers and populated cells (was: blank rows, no headers)","PASS: headers present; its only record is the mostly empty #148 boundary fixture","screenshots/final-2026-09-25/dispatcher_18_VEMSStockUsage_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Import","VEMSVehicles","Navigate directly to Import","Denied","PASS: ""Permission denied""","screenshots/final-2026-09-25/dispatcher_19_VEMSVehicles_import_denied.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Detail&record=31","VEMSAssignments","Open assignment Detail","Linked references, no PHP warning, no Edit control","PASS: same as Dispatcher; no Edit button; Incident and Vehicle links; no PHP warning","screenshots/final-2026-09-25/fleet-manager_01_assignment_detail_linked_refs.png"
"Fleet Manager","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=List","VEMSVehicles","Open List view","Populated columns","PASS: headers and populated cells","screenshots/final-2026-09-25/fleet-manager_02_VEMSVehicles_list.png"
