role,URL,module,action,expected result,actual result,evidence
"Dispatcher","http://127.0.0.1:18080/index.php?module=HelpDesk&view=List","HelpDesk","Open List view","List opens with real rows and readable columns","PASS list opens, 1 row, columns populated","screenshots/dispatcher_HelpDesk_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Detail&record=7","HelpDesk","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","9 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 3 PHP warnings rendered (DETAILVIEWBASIC, DOCUMENT_WIDGET_MODEL, property ""value"" on null) (FAIL)","screenshots/dispatcher_HelpDesk_detail.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Import","HelpDesk","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/dispatcher_HelpDesk_import-denied.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=List","VEMSAssignments","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","screenshots/dispatcher_VEMSAssignments_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Detail&record=8","VEMSAssignments","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","16 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/dispatcher_VEMSAssignments_detail.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Import","VEMSAssignments","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/dispatcher_VEMSAssignments_import-denied.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=List","VEMSVehicles","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 10 row(s) but row cells and column headers are BLANK","screenshots/dispatcher_VEMSVehicles_list.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Detail&record=4","VEMSVehicles","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","12 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","screenshots/dispatcher_VEMSVehicles_detail.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Import","VEMSVehicles","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/dispatcher_VEMSVehicles_import-denied.png"
"Dispatcher","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=List","VEMSPersonnel","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 2 row(s) but row cells and column headers are BLANK","screenshots/dispatcher_VEMSPersonnel_list.png"
